Institution,sfr,infrastructure,out turn,Score
SEETHI SAHIB MEMORIAL POLYTECHNIC COLLEGE (Id: S-1525),10.75,,237,
sehrawat college of pharmacy hathin distt palwal (Id: S-16846),10.85714286,,30,
SEIKALATHUR KAMATCHIAMMAN POLYTECHNIC COLLEGE SEIKALATHUR (Id: S-2976),17.64705882,,12,
SELVAM TEACHER TRAINING INSTITUTE PAPPINAYAKKAN (Id: S-8247),13.6,,0,
SEMBODAI R V POLYTECHNIC COLLEGE SEMBODAI (Id: S-2977),10,,257,
SEMBODAI RV TEACHER TRAINING INSTITUTE VEDARANIAM (Id: S-8249),8.833333333,,0,
SENTHIL TEACHER TRAINING INSTITUTE VRIDDHACHALAM (Id: S-8253),10,,0,
"SENTHUR POLYTECHNIC COLLEGE, NAMBIYUR (Id: S-13786)",8.090909091,,15,
SESHACHALA TEACHER TRAINING INSTITUTE SRI BALAJI EDUCATIONAL SOCIETY CHITTOOR (Id: S-5647),7.333333333,,0,
SESHASAYEE INSTITUTE OF TECHNOLOGY ARIYAMANGALAM (Id: S-2979),59,,340,
SES POLYTECHNIC SIRUGUPPA (Id: S-10975),10.625,,111,
SETH CHELLARAM ADHYAPAK VIDYALAYA ANKHAR THANE (Id: S-9879),9.166666667,,0,
SETH HARBAKSH LOHIA JAIRAM MAHILA POLYTECHNIC LOHAR MAJRA (Id: S-1057),9.111111111,,10,
SETH JAIPRAKASH MUKANDLAL  POLYTECHNIC (Id: S-18644),14.94736842,,65,
SETH JAI PRAKASH POLYTETHNIC DAMLA (Id: S-1058),17.35294118,,314,
SETH MADAN LAL MEMORIAL SCHOOL OF NURSING LUDHIANA (Id: S-5024),22.53846154,,63,
"SETH MOTI LAL TEACHES TRAINING COLLEGE, JHUNJHUNU (Id: S-12539)",10,,45,
SETH SHRI LAKSHMI BHAI NAPUR PRIMARY TEACHER TRAINING COLLEGE KUTCH (Id: S-5971),14.25,,56,
SETH SUSHIL KUMAR BIHANI S.D. SHIKSHA MAHAVIDYALAYA SRI GANGANAGAR (Id: S-7620),8,,0,
"Set Institute of Nurisng, Junagadh (Id: S-13968)",10,,79,
set paramedical institute pazalpora bhejbhera (Id: S-18000),17,,95,
S E T POLYTECHNIC MELKOTE (Id: S-1401),7.25,,87,
SEVADHAM TRUST A.S.M.T SCHOOL OF NURSING (Id: S-17769),5.384615385,,27,
SEVADI INSTITUTE OF MANAGEMENT & TECHNOLOGY (Id: S-3374),12.6744186,,192,
SEVAMANDIR TEACHER TRAINING INSTITUTE FOR WOMEN PARANGIPETTAI (Id: S-8255),8.25,,0,
SEVAMANDIR TEACHER TRAINING INSTITUTE MALAPURAM (Id: S-7114),5.03030303,,21,
"Seva Nursing School,Shrirampur (Id: S-15443)",21.5,,53,
SEVA SADAN JR. COLLEGE LOF EDUCATION NAGPUR SITA BUILDING NAGPUR (Id: S-9880),6.666666667,,14,
SEVA SCHOOL OF NURSING ANGUL (Id: S-4884),38.66666667,,40,
SEVA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA JAIPUR (Id: S-7621),12.32258065,,98,
SEVA SHIKSHAN PRASARAK MANDAL DR. N. J. PAULBUDHE D. ED. COLLEGE SAVEDI AHMEDNAGAR (Id: S-9881),5.375,,8,
SEVA VARATI PRIMARY TEACHERS TRAINING INSTITUTION (Id: S-16527),9.076923077,,46,
SEVEN HILLS HOSPITAL SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3612),15.53571429,,51,
SEVENTH DAY ADVENTIST HOSPITAL RANCHI (Id: S-3895),4.625,,20,
SEWA SADAN COLLEGE OF EDUCATION ULHASNAGAR THANE (Id: S-9882),0.233333333,,28,
SFC INSTITUTE OF PHARMACY (Id: S-18283),11.5,,0,
SGES DR. N MAGDAM POLYTECHNIC ANKALI (Id: S-1424),25,,21,
"SGES RURAL POLYTECHNIC, TARIHAL (Id: S-10986)",5.25,,56,
SG GOVT POLYTECHNIC ADILABAD (Id: S-624),11.875,,106,
S.G. INSTITUTE OF NURSING (Id: S-15292),13.23076923,,35,
S G L NURSING SCHOOL JALANDHAR (Id: S-5007),2.125,,45,
"S.G.M POLYTECHNIC, DEVANUR (Id: S-10985)",19,,44,
"S.G.NURSING SCHOOL, SAMBHAJI NAGAR KHADGAON ROAD LATUR (Id: S-17985)",20.90384615,,0,
S.G.S.J. POLYTECHNIC KHURJA (Id: S-3361),5.833333333,,314,
SHAAN EDUCATION SOCIETY GUARDIAN COLLEGE OF EDUCATION KONDHWA PUNE (Id: S-9884),11.04545455,,14,
SHABBIR AHMED ANSARI NURSING SCHOOL MIRAJ DIST-SANGLI (Id: S-17254),8.166666667,,20,
SHADAN SCHOOL OF NURSING HYDERABAD (Id: S-3613),13.87719298,,4,
SH. AGRASEN TEACHER TEACHER TRAINING SCHOOL (Id: S-7622),0,,50,
SHAGUN INSTITUTE OF NURSING (Id: S-16794),0.75,,0,
SHAHADA TALUKA CO. OP. EDUCATION SHAHADA NANDURBAR (Id: S-9886),9.155172414,,8,
SHAHAPUR TALUKA EDUCATION SOCIETY THANE SHAHAPUR (Id: S-9887),0,,10,
SHAH BABU EDUCATION SOCIETY SHAH BABU D. ED. COLLEGE PATUR AKOLA (Id: S-9885),20.95833333,,50,
SHAHEED BABA DEEP SINGH SCHOOL OF NURSING FATEHABAD (Id: S-3843),11.97368421,,169,
"SHAHEED BHAGAT SINGH COLLEGE OF ENGINEERING & TECHNOLOGY (POLYTECHNIC WING), FEROZEPUR (Id: S-2510)",0,,69,
"SHAHEED BHAGAT SINGH POLYTECHNIC AND PHARMACY COLLEGE, AMRITSAR (Id: S-2511)",10.875,,44,
SHAHEED CAPT. D.K. KHOLA POLYTECHNIC (Id: S-1061),17.5,,28,
SHAHEED DUNICHAND TEJANDAS KALANI MEMORIAL TRUSTS COLLEGE OF EDUCATION ULHASNAGAR-1 THANE (Id: S-9888),18.20253165,,6,
"Shaheed Madan La Dhingra Memorial Government School of Nursing, Amritsar (Id: S-15524)",7.24,,37,
"SHAHEED NAND SINGH GOVERNMENT POLYTECHNIC COLLEGE, BARETA (Id: S-14427)",13.57142857,,1,
SHAHEED SUKHDEV SINGH COLLEGE OF PHARMACY (Id: S-16685),22.5,,22,
Shaheed Udham Singh Elementary Teacher Training Institute (Id: S-17434),12,,70,
"SHAHEED UDHAM SINGH POLYTECHNIC, MOHALI (Id: S-2512)",7.142857143,,39,
SHAHEED UDHAM SINGH SCHOOL OF NURSING FATEHABAD (Id: S-3845),27.91666667,,64,
"SHAHNAWAZ NURSING SCHOOL, AURANGABAD (Id: S-17903)",6.355932203,,12,
"SHAHU MAHARAJ NURSING, SCHOOL (RANM) (Id: S-18175)",8.875,,35,
SHAHU SHIKSHAN SANSTHA BORIVALI (W) MUMBAI (Id: S-9890),15.91666667,,34,
SHAHU SHIKSHAN SANSTHA (PANDHARPUR) KUSUMAGRAJ WOMENS COLLEGE EDU. PANCHAVA NASIK (Id: S-9893),14,,0,
SHAHU SHIKSHAN SANSTHA (PANDHARPUR) RAJMATA ADHYAPAK VIDYALAYA VIJAYANAGAR SANGLI (Id: S-9892),11.5,,0,
Shaida Moula D.El.Ed College (Id: S-15903),7.214285714,,0,
SHAIKH INSTITUTE OF MEDICAL TECHNOLOGY (Id: S-18452),9.777777778,,0,
"Shaikh School of  Nursing,  Odisha (Id: S-15670)",9.214285714,,30,
SHAIL INSTITUTE OF NURSING LUCKNOW (Id: S-5483),12.375,,58,
shakeel college of nursing (Id: S-16516),11.28571429,,17,
SHAKTHI INSTITUTE OF TEACHER TRAINING & RESEARCH PALAKKANUTHU (Id: S-8257),10,,0,
"Shaktirupa School of Nursing , Odisha (Id: S-15651)",8.19047619,,13,
"SHAKUMBHARI INSTITUTE OF HIGHER EDUCATION, ROORKEE (Id: S-3438)",8.428571429,,1,
SHAKUNTALA DEVI PHARMACY COLLEGE (Id: S-19135),12.33333333,,0,
Shakuntala Nursing School Mudkhed Tq Mudkhed District Nanded (Id: S-18854),13.63636364,,0,
Shakuntla School of Nursing (Id: S-16034),3.352941176,,16,
Shalinitai Meghe college of nursing salod hirapur wardha (Id: S-19005),6.090909091,,0,
shalom nursing school (Id: S-17997),22.31818182,,66,
SHAMBHUNATH COLLEGE OF EDUCATION (Id: S-18040),6.615384615,,48,
SHAMM E HUSAINI INSTITUTE OF NURSING COLLEGE AND HOSPITAL (Id: S-15293),4.3,,80,
"Shams- Ul-Uloom D.Ed., College, Markapur (Id: S-16052)",8.434782609,,90,
Shankar Nursing and Paramedical Institute (Id: S-15268),0,,65,
SHANKARRAO NIMBALKAR JR. COLLEGE OF EDUCATION BARSHI SOLAPUR (Id: S-9894),37.81818182,,40,
Shankersinh Vaghela Bapu ANM School of Nursing (Id: S-16930),11.83333333,,12,
SHANMUGHA POLYTECHNIC COLLEGE TIRUMALAISAMUDRAM (Id: S-2981),7,,115,
SHANTHINIKETHAN POLYTECHNIC B M ROAD VIVEKANANDA (Id: S-1426),3.4,,122,
SHANTI ANM TRAINING SCHOOL OF NURSING BALICHANDRAPUR (Id: S-18937),10.44444444,,0,
SHANTI BUSINESS SCHOOL (Id: S-100),12,,105,
SHANTI COLLEGE (Id: S-19397),4.5,,77,
SHANTI DHAMA SCHOOL OF NURSING BANGALORE URBAN (Id: S-4272),2.571428571,,34,
SHANTI DMLT TRAINING INSTITUTE (Id: S-18894),13,,0,
SHANTIDOOT BAHUDDESHIYA PRATISHTHAN SHANTIDOOT ADHYAPAK VIDYALAYA MADAHA (Id: S-9897),8.275862069,,22,
SHANTI INSTITUTE OF NURSING AND PARAMEDICAL COLLEGE (Id: S-15255),16.13793103,,57,
SHANTI INSTT. OF TECHNOLOGY GRAM-KURALI (Id: S-3376),13.3,,139,
SHANTI MANGALICK HOSPITAL AGRA (Id: S-5484),7,,275,
"SHANTI NIKETAN COLLEGE OF PHARMACY RATTI, SUNDERNAGAR, MANDI (Id: S-1129)",11,,51,
SHANTINIKETAN D. ED. COLLEGE CIVIL-LINES NAGPUR (Id: S-9898),7.3125,,2,
Shanti Polytechnic (Id: S-15214),11.83333333,,107,
"SHANTI SINGH MEMORIAL INSTITUTE & RESEARCH CENTRE, BALLIA (Id: S-14151)",14.75,,0,
SHANTIWAN BAHUUDDESHIYA SHIKSHAN MANDAL SHEWALI DHULE (Id: S-9899),10.25,,38,
SHARADABAI PAWAR INSTITUTE OF NURSING PUNE (Id: S-4818),6.403846154,,34,
sharada college of pharmacy yadgir (Id: S-18872),6.694444444,,0,
SHARADA SCHOOL OF NURSING (Id: S-19092),10,,0,
Sharadchandra Pawar Institute of Pharmacy (Id: S-19016),13.33333333,,45,
SHARAD GRAMIN VIKAS BAHU UDDESHIYA SHIKSHAN SANSTH BARBADA WARDHA (Id: S-9901),7.222222222,,15,
"SHARADRAO NURSING COLLEGE, NAIGAON (KH),DIST-NANDED (Id: S-18055)",1.25,,8,
SHARAON DED COLLEGE - YERRAGONDAPALEM (Id: S-15829),3.666666667,,51,
SHARBATI SCHOOL OF NURSING MAHINDERGARH (Id: S-3846),27,,25,
Shardabai Pawar Institute of Pharmaceutical Sciences and Research Diploma (Id: S-18964),4.666666667,,0,
"SHARDA INSTITUTE OF NURSING, PETHAPUR (Id: S-14737)",8.818181818,,27,
SHARDA NARAYAN INSTITUTE OF NURSING  AND PARAMEDICAL SCIENCES MAU (Id: S-19318),11.29411765,,0,
"Sharda Nursing School, Khana Tumsar Bhandara (Id: S-17954)",10,,18,
"SHARDA NURSING SCHOOL, PARTUR (Id: S-17959)",2.5,,8,
"Sharda Polytechnic College, Aurad-Shahajani,Latur (Id: S-18031)",8,,36,
SHARVA DHARMA SHIKSHAK PRASIKSHAN KENDRA GWALIOR (Id: S-7296),7.166666667,,48,
"Sharvani College of Elementary Teacher Education,  Wanaparthy , Mahabubnagar (Id: S-16297)",12.5,,37,
shashank school of nursing (Id: S-19090),6.666666667,,35,
SHASHWAT-THE-INSTITUTE OF PARAMEDICAL AND NURSING LUCKNOW (Id: S-5486),7,,33,
SHEELA MULTIPURPOSE SOCIETY WADI NAGPUR (Id: S-9904),15,,2,
SHEIKHPARA ABDUR RAHAMAN MEMORIAL POLYTECHNIC MURSHIDABAD (Id: S-10952),10,,76,
SHEKAR SCHOOL OF NURSING LUCKNOW (Id: S-5487),12.25,,78,
SHEKAWATI TEACHER TRAINING SCHOOL (Id: S-7626),10.42307692,,46,
SHEKHAR INSTITUTE OF NURSING BANGALORE (Id: S-4274),120,,0,
SHEKHAWATI COLLEGE FOR EDUCATION (Id: S-16659),9.791666667,,90,
SHEKHAWATI INSTITUTE OF PARA MEDICAL SCIENCE (Id: S-18397),16,,0,
SHEKHAWATI NURSING SCHOOL JHUNJHUNU (Id: S-5171),6.6,,34,
"SHEKHAWATI POLYTECHNIC COLLEGE, SIKAR (Id: S-12110)",15.25,,339,
Shekhawati STC College (Id: S-16657),12.33333333,,48,
SHENBAGAM SCHOOL OF NURSING MADURAI (Id: S-5330),16,,20,
SHENFADU FAKIRBA INSTITUTE OF PHARMACY (Id: S-19017),14.45833333,,0,
SHETH CHIMANLAL NAGINDAS TALIMI VIDYALAY AHMEDABAD (Id: S-5970),12.85714286,,31,
Sheth C. N. College of Fine Arts (Id: S-15971),9.384615385,,90,
SHETHKAR SHIKSHAN PRASARAK MANDALS COLLEGE OF EDUCATION ASTHI BEED (Id: S-9905),15.5,,27,
"SHETH SHRI GIRDHARLAL WOMEN'S PTC COLLEGE,DAHOD (Id: S-5798)",7.833333333,,74,
SHEVAROYS INST OF CATERING AND HOTEL MANAGEMENT YERCAUD (Id: S-2982),11.1875,,0,
SHEWANTADEVI ADHYAPAK VIDYALAYA (D. ED) PAUNI BHANDARA (Id: S-9906),33,,9,
"SH.GOKUL BHAI BHATTGOVERNMENT POLYTECHNIC COLLEGE, SIROHI (Id: S-2661)",9.743589744,,18,
Shija Academy Of Nursing (Id: S-17690),14.5,,112,
Shija Paramedical Research Academy (Id: S-18132),0.3,,33,
SHIKSHAKNETE SHIVAJIRAO PATIL ADHYAPAK VIDYALAYA GANGAPUR AURANGABAD (Id: S-9907),13.125,,19,
SHIKSHAN MAHARSHI DR. D. Y. PATIL EDUCATION SOCIETY CHINCHWAD PUNE (Id: S-9909),10.54545455,,0,
SHIKSHAN MANDIR SANSTHA JUNIOR COLLEGE OF EDUCATION G. P. O. JALGAON (Id: S-9914),9,,25,
SHIKSHAN PRASARAK SANSTHA AT GHULEWADI SANGAMNER AHMEDNAGAR (Id: S-9915),17,,20,
SHIKSHAN SHASTRA VIDYALAYA CHOPDA JALGAON (Id: S-9916),3.142857143,,70,
SHIKSHAN SHASTRA VIDYALAYA YAVATMAL YAVATMAL (Id: S-9917),1.428571429,,16,
SHILLONG POLYTECHNIC (Id: S-2263),17.42857143,,64,
SHILPA SCHOOL OF NURSING BAGALKOT (Id: S-4276),8.4,,33,
SHINDE MAHILA ADHYAPAK MAHAVIDYALAYA PANCHAYATI KATOL NAGPUR (Id: S-9918),13,,7,
SHINE-ABDULR RAZZAQUE ANSARI INSTITUTE OF RANCHI (Id: S-3896),96,,188,
SHINE ABDUR RAZA ANSARI INSITIUTE OF HEALTH EDUCATION AND RESEARCH CENTER (Id: S-19070),14.28571429,,0,
SHINE ABDUR RAZZAQUE ANSARI INSTITUTE OF HEALTH EDUCATION AND RESEARCH CENTER (Id: S-15703),15.25,,0,
SHINE-ABDUR RAZZAQUE ANSARI INSTITUTE OF HEALTH EDUCATION & RESEARCH (Id: S-1173),10,,99,
SHINY TEACHER TRAINING INSTITUTE CHIDAMBARAM (Id: S-8264),8.888888889,,0,
SHIRAZ SCHOOL OF NURSING MOGA (Id: S-5026),10.66666667,,26,
SHISHU VIHAR MANDAL TARABAI MODAK ADHYAPAK VIDHYALAYA JUNIOR COLLEGE OF EDUCATION HINDU COLONY MUMBAI (Id: S-9919),6.5,,7,
SHISHU VIKAS TEACHERS TRAINING EDUCATION AURANGABAD AURANGABAD (Id: S-9920),9.714285714,,29,
"Shital Institute of Nursing, Lunawada (Id: S-13976)",9.875,,48,
"SHIVAJI SHIKSHAN PRASARAK MANDAL ADHYAPAK VIDHYALAYA, JALGAON (Id: S-12018)",8.125,,3,
SHIVALIK COLLEGE OF EDUCATION (Id: S-17300),90,,30,
Shivalik Institute of Ayurved and Resarch (Id: S-17169),8.083333333,,9,
SHIVALIK INSTITUTE OF MANAGEMENT AND TECHNOLOGY (Id: S-15017),1.142857143,,12,
SHIVALIK INSTITUTE OF MANAGEMENT EDUCATION AND RESEARCH (Id: S-51),12.40909091,,36,
SHIVALIK POLYTECHNIC VPO. BADHERA TEHSIL HAROLI DISTT. UNA (Id: S-1132),8.8,,9,
SHIVAM INSTITUTE OF SCIENCE & TECHNOLGY (Id: S-3379),10.66666667,,95,
SHIVAM SCHOOL OF NURSING (Id: S-19261),16.22222222,,6,
SHIVAM SCHOOL OF PHARMACY (Id: S-19262),10.33333333,,0,
SHIVAM SHIKSHA MAHAVIDYALAYA MORENA (Id: S-7300),25,,28,
SHIVA POLYTECHNIC INSTITUTE AND MGT. COLLEGE (Id: S-16855),7.3,,100,
"Shiva Trust, Aurangabad Nursing School, Bhalgaon, Aurangabad (Id: S-18069)",10,,40,
"Shiva Trust, Aurangabad Training School of Nursing (Id: S-18066)",11.75,,40,
SHIVBHARTI PHARMACY COLLEGE (Id: S-19257),8.142857143,,0,
SHIVCHATRAPATI SEVABHAVI SANSTHA COLLEGE OF EDUCATION AHMEDPUR LATUR (Id: S-9924),14.75,,0,
"SHIV CHATRAPATI SMARAK SAMITIS SCHOOL OF NURSING KARWAR, UTTAR KANNADA (Id: S-12870)",9.5,,34,
SHIVNATH SINGH SCHOOL OF NURSING GWALIOR (Id: S-4714),25.89473684,,70,
SHIVPRASAD NURSING INSTITUTE MUKHED (Id: S-17768),4.888888889,,24,
SHIVPRATAP GRAM VIKAS MANDAL BHAGWAN BABA D. ED. COLLEGE JUNNAR PARBHANI (Id: S-9927),28.83333333,,14,
SHIVRASHTRA COLLEGE OF NURSING (Id: S-17858),0,,20,
SHIV SHAKTI COLLEGE OF PHARMACY ALIGARH ANOOPSHAHAR ROAD TEJPUR JAWAN ALIGARH (Id: S-19270),6,,0,
SHIV SHAKTI PARAMEDICAL AND NURSING COLLEGE ALIGARH (Id: S-16862),5.133333333,,0,
"SHIV SURGICAL NURSING SCHOOL, VARANASI (Id: S-14082)",6.705882353,,84,
"Shiv Vaibhav Junior College of  Education, Bachelor Road, Post Manas Mandir , Wardha-442005 (Id: S-9922)",8.363636364,,18,
SH. MISHRI LAL DUBEY GIRLS STC SCHOOL (Id: S-7623),24.75,,50,
"SHOBA SCHOOL OF NURSING, ERODE (Id: S-5331)",0,,0,
SHOEB COLLEGE OF EDUCATION (D. ED. ) KAUSA THANE (Id: S-9930),9.5,,23,
SHOVA RANI SCHOOL OF NURSING KOLKATTA (Id: S-5556),11.28571429,,0,
S.H. PRE-PRIMARY TEACHER TRAINING INSTITUTE KOTTAYAM (Id: S-7106),9.583333333,,4,
SHRADDHA INSTITITE OF PHARMACY (Id: S-18957),20.33333333,,0,
SHRADHALAYA JANJATI TEACHER TTI (Id: S-16676),8.946428571,,50,
SHRAMJEEVI JUNIOR COLLEGE OF EDUCATION OMERGA OSMANABAD (Id: S-9931),15,,35,
SHRAMJIVI SHIKSHAN PRASARAK MANDALS SHRAMJIVI COLLEGE OF PHARMACY OMERGA (Id: S-18966),0,,0,
"SHRAVANI INSTITUTE OF NURSING, BASMAT (Id: S-17862)",27.15,,40,
Shree Anant Smriti Charitable Trust kasals Institute of Nursing kasal (Id: S-15580),28.85714286,,34,
"SHREE ARJUN P. T. C. COLLEGE, SUPASI (Id: S-5981)",,,53,
SHREE BALAJI COLLEGE OF PHARMACY (Id: S-17523),19.09090909,,3,
SHREE BALAJI INSTITUTE OF ENGINEERING & TECHNOLOGY DELHI ROAD SAMPLA (Id: S-1067),1.666666667,,58,
"Shree Balaji Nursing Institute, Sujangarh (Id: S-18198)",7.333333333,,22,
SHREE BALAJI POLYTECHNIC COLLEGE (Id: S-3381),3.25,,16,
Shree Bhagwat Institute of Technology (Id: S-18092),9.666666667,,152,
SHREE BHAVANI SCHOOL OF NURSING BANGALORE (Id: S-4281),10,,43,
"SHREE BHAWANI SHANKER SHIKSHAK PRASHIKSHAN VIDYALAYA NARAYANPUR,ALWAR (Id: S-12862)",1.333333333,,40,
SHREE COLLEGE OF NURSING (Id: S-17082),14.28571429,,0,
SHREE C.U.SHAH STREE ADAPAN MANDIR AHMEDABAD (Id: S-5985),5.151515152,,47,
SHREE DATTKRUPA SHAIKSHNIK AND KRISHI GRAM VIKAS PRATISTHAN SHRIGONDA AHMEDNAGAR (Id: S-9934),85.33333333,,19,
"SHREE DHARMABHKTI SCHOOL OF NURSING, BOTAD (Id: S-14736)",12,,26,
SHREE DIVINE INSTITUTE OF NURSING (Id: S-16974),4.181818182,,57,
Shree Gajanan Maharaj Training school of Nursing Jawhar (Id: S-17050),7.976190476,,41,
SHREE GURUDEO JUNIOR COLLEGE OF EDUCATION GURUKUNJ ASHRAM AMRAVATI (Id: S-9935),9.230769231,,0,
Shree Gurugovind Singh Memorial School of Nursing (Id: S-17763),8.571428571,,20,
"Shree H. N. Sukla Nursing School, Rajkot (Id: S-13975)",8.25,,90,
SHREE JAGANNATH JI EDUCATIONAL INSTITUTE (Id: S-15763),7.088888889,,33,
SHREE JAMUNA RAM DEGREE COLLEGE (Id: S-15753),18.25,,96,
SHREEJI PTC COLLEGE SABARKANTHA (Id: S-6031),17.375,,16,
SHREE KRISHNA EDUCATIONAL INSTITUTE BHARATPUR (Id: S-7629),8.571428571,,0,
SHREE LAKSHMI VENKATESHWARA T.T.I BELLARY (Id: S-6645),0,,2,
SHREE LAXMIPATI MAHAVIR NURSING SCHOOL (Id: S-3795),10,,46,
"Shree Mahavir School of Nursing, Odisha (Id: S-15665)",9.473684211,,30,
SHREE MARUTHI POLYTECHNIC COLLEGE MANIVIZHUNDAN SOUTH (Id: S-3012),8.181818182,,225,
SHREE MOOL CHAND MEENA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA LALSOT (Id: S-7630),40,,38,
"SHREENATH BSTC SCHOOL , BARI SADRI (Id: S-17446)",10,,50,
SHREE NEMINATH JAIN BRAHMACHARYASHRAM JAIN GURUKUL CHANDWAD NASHIK (Id: S-9938),5.75,,18,
SHREENIVASA POLYTECHNIC COLLEGE B PALLIPATTI (Id: S-2986),4.285714286,,309,
SHREE NOOTAN KELAVANI MANDAL VALSAD (Id: S-3796),10,,35,
SHREE RAM COLLEGE OF PHARMACY (Id: S-18658),20,,30,
SHREE RAM INSTITUE OF TECHNICAL EDUCATION NH-73 MOULI (BARWALA) (Id: S-1071),12.5,,8,
SHREE RAMKRISHNA INSTITUTE OF SCIENCE & TECHNOLOGY SOUTH 24 PARGANAS (Id: S-10953),0.6,,423,
"SHREE RAM MULAKH COLLEGE OF TECHNICAL EDUCATION, AMBALA (Id: S-14178)",15.88888889,,58,
SHREE RAM NURSING COLLEGE (Id: S-16450),12.5,,26,
SHREE SABAL BALIKA SHIKSHAK PRASHIKSHAN VIDYALAYA (Id: S-7631),4.5,,97,
Shree Sai Nursing (RGNM) College Jamkhed Taluka Jamkhed District Ahmednagar(MS) (Id: S-17068),13.25,,19,
"Shree Sai School of Nursing, Visnagar (Id: S-14028)",33.33333333,,17,
SHREE SAMARTH ACADEMY SHREE SAMARTH JR. COLLEGE OF EDUCATION TAL PARNER AHMEDNAGAR (Id: S-9932),14.28571429,,0,
"Shree Saraswati CON, Gir-Gadhda (Id: S-14025)",12.4,,27,
SHREE SARASWATI NURSING SCHOOL (RANM) (Id: S-15886),8,,20,
Shree Satya College of Medical Sciences (Id: S-15040),7.272727273,,69,
"SHREE SEVA MEDICAL FOUNDATIONS SHAKUNTALA INSTITUTE OF NURSING EDUCATION, SHIRWAL (Id: S-18190)",14.16666667,,16,
"Shree Shankar School of Nsg., Munund (Id: S-13973)",10.85714286,,149,
"Shree Sharada School of Nursing, BIDAR (Id: S-16762)",14.77777778,,11,
"Shree Shreyas Nursing Institute, Jodiya (Id: S-13981)",3.733333333,,29,
"SHREE SODHA SCHOOL OF NURSING, RAJKOT (Id: S-14744)",5.740740741,,53,
"Shree Swaminarayana Gurukul College of Education,Rangareddy (Id: S-16301)",17.08571429,,25,
SHREE SWAMINARAYAN NURSING COLLEGE (Id: S-17750),21,,0,
"Shree Swaminarayan SON, Surat (Id: S-14030)",14,,29,
SHREE SWAMINARYANA ADHYAPAN MANDIR JUNAGADH (Id: S-6021),25.85714286,,32,
SHREE SWAMI SAMARTH NURSING COLLEGE (RGNM) KOLPEWADI AHMEDNAGAR (Id: S-15111),12.5,,18,
"SHREE VASHISTA COLLEGE OF DIPLOMA IN ELEMENTARY EDUCATION, BADDIPALLY, KAMANPOOR (Id: S-14689)",21,,31,
Shree Venkatesha Nursing School RANM (Id: S-17917),10.5,,11,
SHREE VENKATESHWARA HI TECH POLYTECHNIC COLLEGE GOBI (Id: S-2985),9.8125,,227,
SHREE VIDYADHIRAJ POLYTECHNIC KUMTA (Id: S-1431),8.666666667,,111,
SHREE VINAYAKRAO BAPU DESHMUKH SCHOOL OF NURSING YAVATMAL (Id: S-17035),18.33333333,,15,
SHREE VIRPUR MAHILA UTKARSH MANDAL KHEDA (Id: S-6027),10,,15,
"SHREEYA COLLEGE OF PARAMEDICAL SCIENCES, DHARWAD (Id: S-18333)",18.08695652,,45,
SHREEYA INSTITUTE OF NURSING SCIENCES (Id: S-19085),6.125,,0,
Shri Aanasagar STC College (Id: S-17319),65.33333333,,141,
"SHRI ABAJI NANA PATIL ELEMENTARY TEACHER EDUCATION D.ED JAMNER, JALGAON (Id: S-12087)",9.8,,21,
SHRI AMAR BAHADUR SINGH INSTITUTE OF PHARMACY (Id: S-19234),11.875,,0,
"SHRI AMBABAI TALIM SANSTHAS SHETH R.V. GOSALIYA JR. COLLEGE OF EDUCATION, MIRAJ SANGLI (Id: S-9951)",3.285714286,,9,
SHRI AMBIKA MANDAL KAVATHE SANGLI (Id: S-9952),8,,8,
SHRI AMOLAK JAIN VIDYA PRASARAK MANDAL`S PHARMACY COLLEGE KADA ASHTI BEED (Id: S-10349),6.538461538,,45,
SHRI ANAND DIPLOMA IN GENERAL NURSING & MIDWIFERY SCHOOL RAJKOT (Id: S-3798),20.5483871,,80,
SHRI ANARDEVI KHANDELWAL GIRLS POLYTECHNIC (Id: S-3383),11,,63,
SHRI ANGARSIDDHA SHIKSHAN PRASARAK MANDAL VAIBHAVWADI SINDHUDURG (Id: S-9954),18.75,,0,
SHRI AYUSH HOSPITAL AND RESEARCH INSTITUTE (Id: S-17111),5,,0,
SHRI BABA SADHAV RAM PARAMEDICAL COLLEGE & NURSING COLLEGE AZAMGARH (Id: S-5488),15.89473684,,70,
SHRI BABURAM PHARMACY COLLEGE (Id: S-19137),9.5,,0,
SHRI BABU SINGH DADDU JI NURSING AND PARAMEDICAL COLLEGE (Id: S-15273),13.42857143,,57,
SHRI BAHUBALI SCHOOL OF NURSING HASSAN (Id: S-4285),5.842105263,,24,
"SHRI BAJRANG POLYTECHNILC COLLEGE, BHARATPUR (Id: S-2667)",21.73469388,,0,
SHRI BAJRANG SHIKSHAK PRASHIKSHAN SCHOOL (Id: S-7634),12.15384615,,27,
"SHRI BALAJI COLLEGE OF POLYTECHNIC SANGRUR ROAD, PATIALA (Id: S-2513)",7.722222222,,32,
Shri Balaji Institute of Nursing (Id: S-15604),18.09090909,,23,
shri balaji polytechnic college (Id: S-15390),8.722222222,,25,
SHRI BALAJI SHIKSHAN PRASARAK MANDAL SHEPWADA BEED (Id: S-9957),7.833333333,,49,
