Institution,tMale,tFemale,Male,Female,Male.1,Female.1,Male.2,Female.2,Male.3,Female.3,Male.4,Female.4,Male.5,Female.5
Chillukur Balaji College of Pharmacy (Id: C-19549),19,20,,3,1,,13,9,,,1,1,,1
"CHINAB VALLEY COLLEGE OF EDUCATION, BUDGAM (Id: C-45975)",3,2,,,,,,,,,3,2,,
Chinai College of Nursing (Id: C-40210),13,33,,,,,,,,,,1,8,11
Chinchni Tarapur Education Societys Shri Purshottamdas Laldas Shroff College of Arts & Commerce Mhavidyalaya  Chinchani Dist Thane  401 503 (Id: C-33833),10,20,3,3,,,1,1,,,,,,
"CH INDAL SINGH MAHAVIDYALAYA, GURSAHAIGANJ (Id: C-47794)",19,2,3,,,,6,1,,,1,,1,
Chinmaya Advance Research Education (CARE) College of Nursing (Id: C-59484),9,29,1,,,,,2,,,,,1,3
"Chinmaya Arts & College for women, Govindagiri, Chala (Id: C-43839)",3,32,,1,,1,2,22,,,,,,1
"Chinmaya Degree College, Mayuri Estate, Nagashettykoppa Hubballi  (Id: C-53011)",3,3,,,,,1,,,,,,,
"Chinmaya Degree College, Roorkee (Id: C-24703)",16,19,1,,,,1,1,,,,1,,
"Chinmaya Institute of Management, CO, Chinmaya Mission Hospital, CMH Road, Indiranagar, Bangalore -38. (Id: C-20695)",6,3,,,,,,,,,,,,1
Chinmaya Institute of Nursing (Id: C-40414),,14,,,,,,1,,,,,,7
"Chinmaya Institute of Technology, Govindagiri.,Chala, Kannur (Id: C-43833)",10,9,,,,,,,,,1,,,
"Chinmaya Vidhyapeet, Warriam Road, Eranakulam- 682016 (Id: C-11787)",5,31,,,,,2,12,,,,,1,7
"CHINMAY CHANDRAMATHI COLLEGE OF EDUCAITON, DEVARAKONDA (Id: C-33146)",15,1,2,,1,,11,1,,,3,,,1
"Chinnamma Junjappa  Reddy R.J.S College, Chowdeshwari Layout, R.J.S Road, Maratthahalli, Bangalore-37 (Id: C-20966)",3,6,1,1,,,1,2,,,,,,
"CH Institute of Management and Commerce ,Sanwer Road,  Indore (Id: C-29673)",9,11,,,,,1,3,,,,,,
"Chinsurah College of Education, Sugandhya (Id: C-48376)",10,9,,,,,1,,,,,,1,
"Chintalapudi Engineering College, Chintalapudi ,Ponnur PIN-522124  (CC-7R) (Id: C-17947)",86,23,9,5,4,,21,3,,,6,3,1,
"Chintamani B Ed College, Ballarpur (Id: C-18334)",4,6,2,2,,,1,2,,,,,2,1
"Chintamani College of Arts & Science, Gondpipri (Id: C-18538)",14,4,1,,1,,3,2,,,,,1,
"Chintamani College of Commerce, Pombhurna (Id: C-18232)",3,1,1,,,,2,,,,,,1,
"Chintamani College of Science, Pombhurna (Id: C-18551)",7,4,1,2,,,,1,,,1,,,1
"Chintamani Mahavidyalaya, Pombhurna (Id: C-18960)",5,1,1,1,1,,3,,,,,,1,1
"Chintamani Physical Education, Selukate (Id: C-18580)",1,1,,,,,1,1,,,,,,
Chintamani Sanskrit College (Id: C-44069),6,,,,,,3,,,,,,,
"CHINTAMANI SMARAK VIDHI MAHAVIDYALAYA, GODE SADAR, PRATAPGARH (Id: C-42463)",18,3,,,,,3,1,,,,,,
Chintamanrao College of Commerce (Id: C-11195),9,4,3,1,,0,1,,,,,,3,1
"Chirala Engineering College, Ramapuram, Beach Road, Chirala, PIN-523157 (CC-E9) (Id: C-17968)",18,3,1,,,,,,,,,,,
"Chiranjeevi Reddy Institute of Engineering and Technology, Anantapur (Id: C-26909)",148,85,9,1,3,2,118,75,,,17,8,2,1
Chiranji Lal College of Education (Id: C-53038),12,6,1,,,,3,1,,,,1,,
"Chirawa PG College, Jhunjhunun (Id: C-39180)",14,11,,1,,,11,5,,,,,,
CHIRAYU COLLEGE OF NURSING (Id: C-47996),20,65,,3,,,6,18,,,1,4,7,13
"Chirayu K.C. Bajaj College of Education, Jaripatka, Nagpur. (Id: C-18915)",1,12,,1,,,,5,,,,,,2
Chiristian Women's College (Id: C-32703),1,6,,6,,,1,,,,,,,
Chirst Institute of Technology (Id: C-6551),58,43,10,4,,,41,30,,,,1,2,4
Ch. Ishwar Singh Mahila Shikshan Mahavidyalaya (Id: C-10655),,9,,,,,,2,,,,,,
"Ch. I.S. Kanya Mahavidyalaya, Fatehpur-Pundri (Id: C-10616)",2,49,,1,,,,4,,,,,,2
"Chistiya College of Arts, Khultabad. (Id: C-34447)",23,11,2,,,,4,,,,15,10,3,
"Chitalo College,Chitalo, Jajpur (Id: C-39837)",42,17,3,,,,13,6,,,1,,,
"CHITARPUR COLLEGE, CHITARPUR (Id: C-48607)",6,6,,,,1,3,1,,,1,,,
"CHITHIRAI COLLEGE OF NURSING (Inst. Code - 315),  MADURAI (Id: C-45645)",,15,,1,,,,13,,,,,,2
CHITRA COLLEGE OF NURSING (Id: C-55383),2,14,,2,,,2,5,,,,3,,
"Chitrada Coqllege, Chitrada (Id: C-10924)",18,6,,,1,2,2,,,,,,,
"CHITRA DEGREE COLLEGE, NAUBASTA, (Id: C-12536)",14,22,2,,,,6,4,,,,,,
Chitradurga P.G. Centre (Id: C-17721),6,0,,,1,,5,0,,,,0,,
"Chitrakala Mahavidyalaya, Hoovinahipparagi (Id: C-26738)",5,,2,,,,3,,,,,,,
"CHITRAKOOTA INSTITUTE OF INFORMATION SCIENCES, TIPPAGONDANAHALLI (Id: C-47580)",11,4,1,,2,,6,4,,,,,,
CHITRAKOOT INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY (Id: C-53957),5,1,,,,,2,1,,,,,,
CHITRAKOOT INSTITUTE OF COMPUTER SCIENCE & TECHNOLOTY KARWI (Id: C-31191),3,4,,,,,2,1,,,,,,
 Chitrini College of Physiotherapy (Id: C-59692),6,8,,,,2,,1,,,,,,
CHITRINI NURSING COLLEGE FOR WOMEN PRANTIJ (Id: C-47875),14,27,,3,1,2,1,3,,,1,2,,1
"Chitrotpala Women's College, Korua, Kendrapara (Id: C-39533)",9,5,2,,,,3,1,,,,,,
Chitta Mahato Memorial College (Id: C-44694),6,3,2,,,,3,2,,,1,,,
Chittaranjan College (Id: C-11856),7,13,1,2,,,,1,,,,1,,1
Chittaranjan National Cancer Institute (Id: C-16410),1,,,,,,,,,,,,,
Chittaranjan Seva Sadan Sishu Sadan & College of Obstetics and Gynaecology (Id: C-16401),2,1,,,,,,,,,,,,
CH. JAGAN SINGH COLLEGE UMARI MATHURA (Id: C-15461),14,2,2,,,,1,1,,,,,,
"Ch. Jagan Singh Edu. Inst., Bharatpur (Id: C-38879)",12,4,,,1,,2,,1,,,,,
"CH. JAIVEER SINGH MAHILA SHIKSHAN SANSTHAN, KANNAUJ (Id: C-52069)",10,1,,,,,8,,,,,,,
"CH. JASWANT SINGH MAHAVIDYALAYA, BHARTHANA, (Id: C-12314)",9,2,,,,,3,1,,,,,,
CH.JEVAN SINGH MEMORIAL MAHAVIDHAYALA SAROL ALIGARH (Id: C-15326),4,,,,,,1,,,,,,,
CH. J.S.S.S. MAHAVIDYALAYA  (Id: C-55999),5,,,,,,1,,,,,,,
"CH. KALIRAM MAHAVIDYALAYA NAGLA, SAHARANPUR (Id: C-28982)",18,2,2,1,,,13,,,,,,,
Ch. Kapoori Ram College of Education (Id: C-10562),8,14,,2,,,,,,,,,,
"CH. KATAR SINGH MEMORIAL COLLEGE OF EDUCATION, VPO. ASSAN (Id: C-59477)",1,7,,,,,,,,,,,,
"C.H. Keluskar Homoeopathy College, Alibag (Id: C-13944)",22,15,2,,1,1,11,10,,,,,2,
"CH. KHACHERE L AL MAHILA MAHAVIDYALAYA, PIPRIKALA (Id: C-22605)",3,2,2,2,,,1,,,,,,,
"CH. KHAJAN SINGH MAHAVIDYALAYA, JURAKHAN KHERA, (Id: C-12690)",15,9,,,,,5,2,,,2,,,
"CH. MAHKAR SINGH COLLEGE OF EDUCATION  KHARA NO. 333, PABARSA, POST-DAURALA, MEERUT (Id: C-28903)",6,3,2,,,,,,,,,,,
"CH. MAHKAR SINGH GIRLS COLLEGE OF EDUCATION AND TECHNOLOGY, VILL. PABARSA, POST-DAURALA, SARDHANA, MEERUT (Id: C-28545)",6,3,,,,,2,1,,,,,,
Ch. Mani Ram College of B.Ed. (Id: C-36619),3,13,1,1,,,1,4,,,,,,2
CH.MANIRAM SHIV BALAK PATEL MAHAVIDYALYA  (Id: C-56231),10,1,2,,,,4,1,,,,,,
"CHME Societys Bhonsala Military College, Arts, Science & Commerce, Rambhumi, Nashik  422005 (Id: C-42239)",23,22,4,2,1,,5,8,1,,,,0,1
"C.H.M.M. College of Advanced Studies, Palayamkunnu, Varkala (Id: C-43656)",12,51,,,,,9,37,,,3,24,2,
"CH. MOHAR SINGH MAHAVIDYALAYA, MANSUPURWA, BARIYAMAU, (Id: C-12251)",3,,,,,,1,,,,,,,
"Ch. Motaram Meel Memorial College, 74 L.N.P. (Id: C-36804)",11,8,1,,,,7,3,,,,,,
"Ch. Motaram Meel Memorial College of Education, 5 NRD, Nirwana (Id: C-40632)",7,6,1,,,,3,3,,,,,,
"CH. M.P. SITAVI DEVI VIDHI MAHAVIDYALAYA,KANNAUJ (Id: C-55103)",9,,,,,,4,,,,,,,
C.H.M.SHAH SCIENCE COLLEGE (Id: C-53586),,1,,,,,,,,,,1,,
"Ch. M.S.Memorial T.T.College, Taranagar (Id: C-40750)",29,,2,,,,23,,,,,,,
Ch. M.S. Tandi Memorial Girls College (Id: C-36779),8,2,,,2,,4,1,,,,,,1
"CH. MULTAN SINGH COLLEGE OF EDUCATION, TUNDLA (FIROZABAD) (Id: C-15380)",2,2,,,,,,2,,,,,,
"Ch. Narendra Pratap Mahavidyalalya, Rampur-Bakewar, Fatehpur (Id: C-57855)",10,3,1,,,,7,3,,,,,,
CH. NATHHU SINGH DEGREE COLLEGE  (Id: C-51211),16,2,3,,,,7,1,,,1,,,
CH.NATHU SINGH YADAV MAHAVIDYALAYA MAINPURI (Id: C-15307),84,15,9,,,,45,3,2,,1,1,,
"CH. NATTHU SINGH YADAV MAHAVIDYALAYA, KUMHAWAR, (Id: C-12623)",7,3,1,,,,2,2,,,,,,
"CHODHARY KIRAN ACADEMY, FATHEPUR SIKARI ROAD, KIRAWALI, AGRA (Id: C-47639)",8,5,,1,,,3,3,,,,,,
"Choithram College of Prof. Studies,  Dhar Road, Indore (Id: C-29709)",11,3,1,,,,2,,,,,,,
Cholan College of Education (Id: C-14848),9,6,,,,,9,6,,,1,,,
"Chopasni Teachers Training College, Chopasni, Jodhpur (Id: C-37197)",9,9,,,,,,,,,,,,1
CHOPRA KAMALA PAUL SMRITI MAHAVIDYALAYA (Id: C-55418),9,1,3,,,,3,1,,,2,1,,
"Chotabhai Jevhribhai Patel Arts Commerce College, Tirodi (Id: C-18585)",18,7,3,1,1,,10,2,,,,1,3,1
"CHOTANAGPUR COLLEGE, RAMGARH (Id: C-44447)",25,14,,,,,9,3,,,1,,,
Choti Devi Memorial B.ed College (Id: C-26599),13,3,,,,,8,1,,,,,,
"Choti Devi Memorial Girls B.Ed. College, Deedwana (Id: C-13106)",27,4,,,,,12,1,,,1,,,
"Chouda Mouza Bidyut Mahavidyalaya, Garhasanput (Id: C-39541)",14,14,1,,,,,3,,,1,,,
"Choudhar College, Choudwar, Cuttack (Id: C-39642)",34,28,,,,,,,2,,,1,,
"CHOUDHARY A.R. COLLEGE,WARD NO.19.BUKANSAR BASS,SARDARSHAHAR (Id: C-60937)",8,2,2,,,,6,1,,,,,,
"Choudhary B. R. G. Govt. Girls College, Ganganagar (Id: C-36695)",16,25,6,5,,,3,3,3,,,,2,3
Choudhary Chanan Ram Memorial College Srikaranpur (Id: C-53235),6,6,,1,,,2,5,,,,,2,3
"Choudhary Charansingh Medical S.P.S. Ayurved Nursing Training,Alwar         Centre, Alwar (Id: C-26227)",6,,,,,,3,,,,,,,
CHOUDHARY CHARAN SINGH T T COLLEGE (Id: C-54587),7,9,,1,,,5,6,,,,,,
"CHOUDHARY CHUNNIRAM GODARA KANYA COLLEGE, BIRKALI (Id: C-51867)",6,1,1,,,,3,,,,2,,,
CHOUDHARY K R  GODARA MEMORIAL COLLEGE BASHEER TIBBI (Id: C-58261),12,4,3,,,,4,2,,,,,,
"Choudhary K. R. Kanya College, Gharsana (Id: C-40725)",7,,3,,,,1,,,,,,,
Choudhary Matu Ram College of Education (Id: C-10738),26,7,3,,,,,1,,,2,,2,2
Choudhary M.S. Memorial College (Id: C-36601),1,,,,,,,,,,,,,
Choudhary Nandram Memorial Agriculture College (Id: C-55763),7,,2,,,,4,,,,,,,
CHOUDHARY PARMA RAM GODARA AGRICULTURE COLLEGE (Id: C-54499),11,5,3,,,,3,2,,,2,,1,
"Choudhary RR Memorial PG Mahavi., Sikar (Id: C-38856)",5,1,1,,1,,2,,,,,,,
"Choudhary TT College, Jaipur (Id: C-38930)",12,4,,,,,4,3,,,,,,
"CHOUDHARY T.T. COLLEGE, JHUNJHUNU (Id: C-58086)",13,4,1,,,,7,3,,,1,,,
"Choudhary T.T. College, Rawatsar (Id: C-40715)",8,8,,,,,5,4,,,,,,
"Chouksey College of Science and Commerce LalKhadan, Bilaspur (C.G.) (Id: C-59934)",9,4,,,,,4,3,,,,,1,1
"Chouksey Engineering College  Lal Khadan,  Masturi Road (Id: C-15646)",61,38,5,,0,,19,13,,,2,,4,1
"CHOURASIA SHIKSHA MAHAVIDYALAYA, KATANGI, Jabalpur (Id: C-47387)",7,6,,,,,5,2,,,,,,1
CH. PANCHAM SINGH MAHAVIDYALAYA (Id: C-53757),4,2,,,,,3,1,,,,,,
"Ch.  Parma Ram Godara T.T. College, Bhadra (Id: C-40798)",11,11,1,1,,,5,7,,,,,,
CH. PARTAP SINGH MEMORIAL COLLEGE OF EDUCATION (Id: C-28440),4,25,,,,,,,,,,,,
"CH. RAGHUWAR DAYAL MAHAVIIDHAYALAYA, SHIKOHABAD DISTT FIROZABAD  (Id: C-55598)",6,2,2,,,,3,1,,,,1,,
"CH. RAM GOPAL VIDHI MAHAVIDYALAYA, M.B. SINGH KA PURWA, (Id: C-12292)",8,2,1,,,,1,,,,,,,
"CH. RAM PRAKASH YADAV MAHAVIDHALAYA, TULSINAGAR,ETAH (Id: C-15399)",6,,,,,,2,,1,,,,,
"CH. RAM SINGH COLLEGE OF EDUCATION, KHERA CHAUGAVA,JANSATH (Id: C-57898)",4,1,2,,,,1,,,,,,,
CH.RAM SINGH MAHAVIDYALAYA NAHAL AUTROLI ALIGARH (Id: C-15390),54,12,8,1,,,30,6,,,,,,
CH. RANBIR SINGH STATE INSTITUTE OF ENGINEERING AND TECHNOLOGY (Id: C-58700),10,6,,,,,4,1,,,,,,
CHRIST ACADEMY INSTITUTE FOR ADVANCED STUDIES (Id: C-56444),14,19,2,,,,,2,,,,,5,8
Christ Academy Institute of Law (Id: C-58760),3,6,,,,,1,,,,,,2,2
CHRIST ARTS AND SCIENCE COLLEGE (Id: C-43957),27,11,6,2,,,19,8,,,,,18,4
"CHRIST CHURCH P.G. COLLEGE, (Id: C-12359)",29,21,,,,,1,1,,,3,2,5,7
"CHRIST COLELGE, RAJKOT (ARTS, CIENCE, COMMERCE) (Id: C-906)",27,29,,,,,,,,,1,1,7,8
CHRIST COLLEGE (Id: C-51978),8,25,,,,,1,2,,,,,7,16
CHRIST COLLEGE (Id: C-52088),5,16,1,,,,1,5,,,,,2,4
CHRIST COLLEGE (Id: C-57037),11,14,,2,2,,7,5,,,1,,5,5
CHRIST COLLEGE (B. ED. ) (Id: C-53692),9,5,1,,,,7,,,,,1,,
"Christ College, Cuttack (Id: C-39830)",38,52,,,,,,,,,2,4,1,13
"CHRIST COLLEGE, IRINJALAKKUDA (Id: C-8213)",67,73,3,1,,,2,8,,,,4,54,37
Christ College Jagdalpur (Id: C-24975),28,24,,,,,2,,,,1,1,12,9
Christ College Of Education (Id: C-24083),8,5,,1,,,6,2,,,,,4,
Christ College of Engineering and Technology (Id: C-6522),124,69,10,2,,,84,55,,,2,1,12,6
"CHRIST COLLEGE OF NURSING, GIDAM ROAD, JAGDALPUR (Id: C-33010)",3,14,,,,3,,1,,,1,,2,8
"CHRIST COLLEGE OF PHYSICAL EDUCATION, IRINJALAKKUDA (Id: C-43279)",4,2,,,,,2,,,,,,1,1
Christ College of Science and Management (Id: C-54012),7,14,0,,,,1,3,,,,,5,9
"Christhu Raj College, Panjapur, Edamalaipatti Pudur, Tiruchirappalli - 620 012. (Id: C-35784)",18,10,4,,,,9,7,,,,,3,5
"Christian College, Cengannur (Id: C-43608)",20,43,,,,,3,5,,,,,13,35
"Christian College, Kattakada (Id: C-43670)",16,34,,,,,12,29,,,,1,11,29
Christian college of Education (Id: C-14492),3,8,,,,,,,,,,,3,8
Christian College of Education (Id: C-14453),5,4,3,,,,2,4,,,,,1,1
"Christian College of Education, Anand (Id: C-1177)",5,2,1,1,,,,,,,,,1,1
"Christian College of Education, Madanapalli (Id: C-27740)",11,5,,,,,8,1,,,,1,,
Christian College of Engineering and Technology Bhilai. (Id: C-16644),40,21,,,,,1,,,,1,,3,4
"Christian College of Engineering and Technology, Oddanchatram, Palani (Id: C-26780)",71,45,10,10,1,,,,1,,,,33,10
Christian College of Nursing (Id: C-40602),5,15,,,,,1,,,,,,2,12
"CHRISTIAN COLLEGE OF NURSING (Inst. Code - 187), NEYYOOR, KANNIYAKUMARI (Id: C-45620)",,23,,,,,,,,,,,,23
Christian College of Physical Education (Id: C-7943),4,1,,,,,4,1,,,,,4,1
CHRISTIAN COLLEGE OF PHYSIOTHERAPY (Id: C-60444),3,4,,,,,,,,,,,2,2
"CHRISTIAN COLLEGE OF PHYSIOTHERAPY (Inst. Code - 176), KANNIAKUMARI (Id: C-45619)",6,1,,,,,,,,,,,6,1
"Christian Dental College, Brown Road, Ludhiana (Id: C-29150)",19,35,,,,,,,,,,,9,20
"Christian Eminent Academy of Management, Professional Education and Research,  MIG Colony,Indore (Id: C-29706)",33,48,1,1,,2,10,7,,,1,1,1,3
"CHRISTIAN FELLOWSHIP COMMUNITY HEALTH CENTRE, COLLEGE OF NURSING (Inst. Code - 035 ) DINDUGUL (Id: C-45584)",4,31,,2,,,3,25,,,,,2,21
"CHRISTIAN INSTITUTE OF HEALTH SCIENCES AND RESEARCH, DIMAPUR (Id: C-47446)",,31,,,,29,,1,,,,,,31
Christian Institute of Management (Id: C-54199),3,8,,,,,,,,,1,,,6
CHRISTIAN INSTITUTE OF OPTOMETRY (Id: C-60531),,6,,,,,,,,,,,,1
"CHRISTIAN MEDICAL COLLEGE AND HOSPITAL, COLLEGE OF NURSING (Inst. Code - 033), VELLORE (Id: C-45655)",3,133,,2,,1,1,111,,,,1,2,122
"Christian Medical College, Brown Road, Ludhiana (Id: C-29209)",76,67,,,,1,,,,,,,51,38
"CHRISTIAN MEDICAL COLLEGE, COLLEGE OF PHYSIOTHERAPY,  (Inst. Code - 169), VELLORE (Id: C-49093)",24,16,,,,,21,14,,,,1,18,9
"CHRISTIAN MEDICAL COLLEGE (Inst. Code - 011), VELLORE (Id: C-45654)",420,292,3,1,2,1,49,21,,,3,3,315,235
"CHRISTIAN MEDICAL COLLEGE (Inst. Code - 436), VELLORE (Id: C-49094)",47,26,4,1,,,19,6,,,1,,36,20
"CHRISTIAN MEDICAL COLLEGE (Inst. Code - 515), VELLORE (Id: C-49095)",46,26,,,,,2,1,,,3,,30,18
"CHRISTIAN MEDICAL COLLEGE (Inst. Code - 556), VELLORE (Id: C-49096)",,4,,,,,,,,,,,,4
"CHRISTIAN MEDICAL COLLEGE (Inst. Code - 565), VELLORE (Id: C-49097)",1,4,,,,,,,,,,,1,3
"CHRISTIAN TRAINING COLELGE, GOLAGANJ (Id: C-12729)",1,2,,,,,,,,,,,1,2
"CHRISTIAN MEDICAL COLLEGE, COLLEGE OF OCCUPATION THERAPHY (Inst. Code - 177),  VELLORE  (Id: C-49101)",13,25,,,,,,,,,,,13,25
"CHRISTIAN MEDICAL COLLEGE (B.M.R.S.C & B.Sc.M.L.T) (Inst. Code - 178 & 179),   VELLORE  (Id: C-49100)",12,9,,,,,,1,,,,,12,9
"CHRISTIAN MEDICAL COLLEGE (M.Sc.(EPIDEMIOLOGY)   (Inst. Code - 180), VELLORE (Id: C-49102)",5,6,,,,,,,,,,,5,5
"Christ Institute of Management,""Vidya Niketan""-Rajkot (Minority Institute ) (SFI) (Id: C-361)",8,12,,,,,,,,,1,,1,3
"Christ Knowledge City, Christ Nagar, Kuzhoor, Airapuram P.O, Emakulam- 683 541 (Id: C-11563)",3,28,,,,,,,,,,1,1,21
"Christ Nagar College of Education, Chavarapuram, Thiruvallam (Id: C-43755)",,8,,2,,,,1,,,,,,1
"Christ Polytechnic Institute, Rajkot 610 (Id: C-32)",31,26,1,2,,,4,3,,,1,,5,4
Christ the King College (Id: C-52741),2,7,,,,,2,2,,,,,2,2
Christ The King Engineering College (Id: C-36941),56,34,3,2,,,53,32,,,,,7,5
Christu Jayanthi Jubilee College (P.G.) (Id: C-32819),1,,,,,,,,,,,,,
Christu Jyothi Institute of Technology & Sciences (Id: C-19716),94,51,28,9,5,2,41,30,,,3,3,4,3
CHRISTUKULA MISSION COLLEGE (Id: C-59048),,5,,,,,,,,,,,,4
CHRISTUKULA MISSION WOMENS ENGLISH MEDIUM COLLEGE (Id: C-57594),6,3,,,,,,,,,1,,1,1
"Ch. R.R. Memorial College of Education, Ellenabad (Id: C-22415)",5,6,1,,,,1,1,,,,,,1
Ch.S.D. St. THERESAS (A) COLLEGE FOR WOMEN (Id: C-23939),6,124,,29,,,1,37,,,,5,,20
"CH. SHER SINGH CHIKARA SMARAK MAHAVIDYALAYA, KAILBAKRI ( AMROHA ) (Id: C-49766)",4,,1,,,,2,,,,1,,,
"CH. SHIV KUMAR SINGH SMARAK MAHAVIDYALAYA, DHATA, (Id: C-12447)",2,,,,,,,,,,,,,
"CH. SHRIRAM YADAV MAHAVIDYALAYA, PATIYALI, ETAH (Id: C-15140)",11,2,2,,,,8,2,,,1,,,
"Ch.Skt.College,Hathua,Gopal. (Id: C-9671)",5,1,,,,,,,,,,,,
CH. SOBRAN SINGH MAHAVIDHYALAYA (Id: C-57553),9,3,1,,,,3,3,,,,,,
"Ch. S.R. College, Patroda (Id: C-36735)",6,,3,,,,3,,,,,,2,
CH SUGHAR SINGH EDUCATION ACADEMY (Id: C-50082),50,8,9,1,,,31,4,,,,,,
"CH. SUNDER LAL MAHAVIDYALAYA KUSHMARA, MAINPURI (Id: C-47656)",3,2,,,,,3,2,,,,,,
Ch.surendra singh B.ed Mahavidhyalaya Majhigawan Saurikh Kannauj (Id: C-57947),8,,,,,,3,,,,,,,
"CH. SURENDRA SINGH MAHAVIDYALAYA, MAJHIGAWAN, SAURIKH, (Id: C-12648)",9,3,,,,,5,1,,,1,1,,
CH SURENDRA SINGH MAHILA TEACHERS TRANNING COLLEGE (Id: C-50129),10,2,,,,,3,,,,,,,
Ch.surendra singh teachers trainning college bhatpuri saurikh kannauj (Id: C-58036),3,,,,,,1,,,,,,,
"CH SURESH SINGH MAHAVIDHYALAYA, GADHIYA (Id: C-50074)",12,1,2,,,,6,,,,,,,
"CH. TARA CHAND DEGREE COLLEGE, TAGASARAI, HAPUR  GHAZIABAD (Id: C-28917)",5,2,,,1,,,1,,,,,,
"CH. TULSIRAM YADAV MAHAVIDYALAYA, GHOSARA, TULSINAGAR, (Id: C-12250)",12,5,,,,,6,4,,,1,,,
Chunari College (Id: C-58616),20,5,,,,,,,1,,20,5,,
"CHUNDA MAHILA  TEACHERS TRAINING COLLEGE, DHINKLI (Id: C-39969)",3,8,,,1,,,,,,,,,
"CHUNNI DEVI R N MEMORIAL MAHAVIDYALAYA, SAMSABAD (Id: C-47261)",6,5,1,,,,,3,,,,,,
Churachandunpur College (Id: C-9393),36,23,,,23,22,,,,,,,27,23
Church of Our Lady of The Sea St Joseph College of Arts and Commerce  at P O Uttan  Bhayandar West   Dist  Thane 401 106 (Id: C-34193),3,5,,1,,,2,1,,,,,2,
Churu Balika Mahavidyalaya (Id: C-36877),8,17,1,2,,,5,6,1,1,1,2,,1
CHUYAPARA SHREE RAMAKRISHNA TEACHERS TRAINING COLLEGE AND RESEARCH (B ED) (Id: C-58155),15,3,3,,,,9,,,,9,,,
Ch. Vedram College of Higher Education (Id: C-55262),8,5,,2,,,1,,,,,,,
CH.V.P.M.R. GOVT. DEGREE COLLEGE (Id: C-24068),10,7,2,2,,,1,2,,,,,,
CH. YADUNATH SINGH COLLEGE (Id: C-34883),9,3,,,,,,,,,,,,
CH- YADUNATH SINGH EDUCATION COLLEGE (Id: C-34806),10,1,,,,,3,,,,1,,,
C.I. College (Id: C-9431),27,21,2,,1,5,3,1,,,1,,4,5
"CICS COLLEGE OF TEACHER EDUCATION, (Id: C-8046)",1,7,,,,,1,2,,,,,,2
CIFE Kolkata (Id: C-6909),2,,,,,,,,,,,,,
C.I.L COLLEGE FOR RURAL DEVELOPMENT VINUKONDA (Id: C-42663),1,,,,,,,,,,,,,
Cimage Professional College (Id: C-49572),13,6,,,,,4,1,,,2,,,
"C-IMPACT INST., AGRA MATHURA ROAD SIKENDRA, AGRA (Id: C-15513)",71,13,21,3,,,22,3,1,,1,,,
Cinnamara College P.O. Cinnamara-785008 (Id: C-8478),21,14,1,,,1,15,8,,,1,,,
CIST College (Id: C-48867),3,2,,,,,1,,,,,,,
C I T B ED BELWADIH ABHANPUR COLLEGE (Id: C-49232),5,5,,1,,,3,2,,,,1,,
CIT DEGREE COLLEGE  (Id: C-58837),6,9,,1,,,2,,,,,1,,
"CITIZENS FIRST GRADE COLLEGE OF SCIENCE, COMMERCE AND MANAGEMENT (Id: C-54891)",6,5,1,2,,,3,3,,,,,,
"Citizen Welfare Education Societys Dr. Manzoor Hasan Ayyubi College of Education, Sr.No. 224, Plot No. 124, Guruwar Ward, Islam Nagar, Malegaon, Dist. Nashik - 423203 (Id: C-41367)",5,10,,,,,,,,,4,8,,
"CITY ACADEMY DEGREE COLLEGE, TIWARIGANJ (Id: C-12790)",46,30,2,3,,,7,4,,,2,1,1,1
"CITY ACADEMY LAW COLLEGE, TIWARIGANJ (Id: C-12817)",18,6,4,2,,,5,3,,,2,,,1
CITY CENTRE OF MANAGEMENT & INFORMATION TECHNOLOGY JABALPUR (Id: C-31376),2,1,,,,,1,1,,,,,,
City College (Id: C-11934),44,32,9,1,,,1,,,,1,,2,1
"City college, 27/2, 33rd Cross, 2nd Main road, 7th block, Jayanagar, Bangalore-82 (Id: C-21130)",6,24,,,,1,1,2,,,1,1,,2
City College of Arts & Commerce (Id: C-16731),7,16,,,4,13,1,1,1,,,,4,14
City College of Commerce & Business Administration (Id: C-11958),22,11,2,1,,,,,,1,1,,,
City College of Education (Id: C-10703),11,4,1,,,,3,1,,,,,,
"City College of Education, Bhopal (Id: C-35255)",10,6,,,,,4,2,,,,,,
City College of Imaging Technology (Id: C-53602),6,11,,,,,,,,,2,,,3
"CITY COLLEGE OF MANAGEMENT AND TECHNOLOGY, LUCKNOW (Id: C-46894)",10,2,,,,,4,,,,,,1,
"CITY COLLEGE OF MANAGEMENT, TIWARIGANJ (Id: C-12775)",29,11,5,2,,,10,4,,,3,3,,
City College of MLT (Id: C-40433),2,13,,,,,,,,,1,,,1
City College of Nursing (Id: C-40274),3,22,,,,,,,,,,,2,14
CITY COLLEGE OF PHYSIOTHERAPY (Id: C-53633),18,7,,,,,,,,,1,1,6,1
City C. U. Shah Commerce College (Id: C-5928),10,6,,,1,,2,1,,,,,,
"City Degree College, Nagina (Id: C-13353)",7,4,3,1,,,,,,,2,1,,
CITY DEGREE COLLEGE OF MANAGEMENT AND TECHONOLOGY (Id: C-58872),7,3,,,,,7,3,,,3,,,
"City Engineering College, BANGALORE (Id: C-1307)",70,55,5,,1,1,39,22,,,,,1,3
